ID,Building ID,Mainshock Earthquake event ID,Aftershock Earthquake event ID,Mainshock Moment magnitude,Aftershock Moment magnitude,PGA of Mainshock (m/s?),PGA of Aftershock (m/s?),Measured PTFA (m/s?)
1,58496,NC71667366,NC71667591,4,3.8,0.92,0.32,1.15931
2,54388,NC72592670,NC72592705,4.8,4.3,0.06,0.05,0.430945
3,58197,NC71667366,NC71667591,4,3.8,0.12,0.17,0.35933
4,58479,NC71667366,NC71667591,4,3.8,0.35,0.35,0.05252
5,58364,NC71667366,NC71667591,4,3.8,0.07,0.07,0.10787
6,58337,NC71667366,NC71667591,4,3.8,0.53,0.63,0.34906
7,58364,NC1050040,NC1050437,5.9,5.8,0.29,0.54,0.54391
8,58483,NC71667366,NC71667591,4,3.8,0.22,0.17,0.12491
9,58334,NC71667366,NC71667591,4,3.8,0.35,0.29,0.23248
10,58225,NC71667366,NC71667591,4,3.8,0.18,0.27,0.24479
