nStory,storyheight,year,strutype,M_Peak Ground Acceleration (PGA),M_Peak Ground Velocity (PGV),M_Peak Ground Displacement (PGD),M_Vmax/Amax,M_Acceleration Root Mean Square(ARMS),M_Velocity Root Mean Square(VRMS),M_Displacement Root Mean Square(DRMS),M_Cumulative Absolute Velocity (CAV),M_Cumulative Absolute Displacement (CAD),M_Cumulative Absolute Energy (CAI),M_Significant Duration,M_Bracketed Duration,M_Peak Spectral Acceleration (SPA),M_Peak Spectral Velocity (SPV),M_Characteristic Intensity (Ic),M_Acceleration Spectrum Intensity (ASI),M_Velocity Spectrum Intensity (VSI),M_Predominant Period (Tp),M_Arias Intensity,Peak Ground Acceleration (PGA),Peak Ground Velocity (PGV),Peak Ground Displacement (PGD),Vmax/Amax,Acceleration Root Mean Square(ARMS),Velocity Root Mean Square(VRMS),Displacement Root Mean Square(DRMS),Cumulative Absolute Velocity (CAV),Cumulative Absolute Displacement (CAD),Cumulative Absolute Energy (CAI),Significant Duration,Bracketed Duration,Peak Spectral Acceleration (SPA),Peak Spectral Velocity (SPV),Characteristic Intensity (Ic),Acceleration Spectrum Intensity (ASI),Velocity Spectrum Intensity (VSI),Predominant Period (Tp),Arias Intensity
2,7.3152,1984,S2,0.922952,0.022996776,0.001287321,0.024916546,0.033991593,0.001347283,0.0000768,0.386483485,0.017385156,0.001504977,1.38,1.29,0.070120474,0.00337796,0.048946563,0.019838304,0.004246587,0.23,0.011285576,0.320638,0.012885805,0.000701836,0.040188017,0.02198666,0.000769212,0.0000473,0.302281451,0.011356226,0.001250866,2.02,1.1,0.034797184,0.001959627,0.025041762,0.011113977,0.002334645,0.14,0.004566899
2,7.9248,1976,S1,0.282287,0.010906289,0.001817426,0.038635462,0.027097539,0.001501839,0.000251566,0.782245076,0.048078569,0.009683852,15.45,8.3,0.028772991,0.004036283,0.034551777,0.008681968,0.006289624,0.1,0.007054428,0.160859,0.008252321,0.000645076,0.051301579,0.019469387,0.000918382,0.0000824,0.567161318,0.028212167,0.002612769,15.72,3.205,0.028726071,0.001559001,0.021042825,0.007197509,0.002412893,0.32,0.003641721
4,23.7998,1946,C2,0.120512262,0.015882098,0.00081612,0.126923784,0.026458997,0.000937296,6.49E-05,0.427843498,0.017177395,0.002215867,23.639616,0.12012,0.044715943,0.001880398,0.014561417,0.011418641,0.001200377,0.672672,0.00128317,0.17182148,0.023887678,0.000848988,0.139906757,0.03683503,0.00116267,1.24E-04,0.518803445,0.018119942,0.005649787,15.543528,0.888888,0.071807477,0.002231863,0.023918573,0.014471227,0.002514818,0.864864,0.002486911
6,23.7744,1968,C2,0.35237265,0.000918005,0.0000751,0.026292503,0.002192424,0.0000786,0.00000824,0.047904009,0.001694157,0.000336389,8.065,0,0.002508515,0.000152684,0.000768211,0.000739354,0.000224789,0.17,0.0000431,0.3523722,0.000918006,0.0000752,0.026292737,0.002192416,0.0000786,0.00000827,0.047903852,0.001693786,0.000338105,8.065,0,0.002508477,0.000152679,0.000768207,0.00073933,0.00022476,0.17,0.0000431
10,39.0144,1970,C2,0.06912104,0.002881117,0.000306252,0.036964134,0.008609419,0.000403855,0.0000462,0.180793289,0.010610226,0.001701268,13.6752,0,0.010444972,0.000764561,0.004612114,0.003202858,0.00121235,0.5376,0.00039562,0.06538626,0.003974806,0.00025097,0.052803161,0.010401626,0.000431252,0.000051408,0.214361167,0.010153006,0.002247234,11.382,0,0.014771502,0.000715164,0.006124792,0.003945454,0.001060235,0.504,0.000577474
11,44,1972,C2,0.5378852,0.007251427,0.000682259,0.031314056,0.011903421,0.000527919,4.65E-05,0.241768473,0.012011693,0.001320905,8.503636364,1.118181818,0.020411198,0.000973865,0.009631391,0.006008417,0.001823295,0.24,0.001247835,0.6327948,0.006585753,0.000271984,0.032549724,0.013077295,0.000494983,3.76E-05,0.254769808,0.011600755,0.001276995,6.867272727,0.321818182,0.017769757,0.000844007,0.01109068,0.004991058,0.001157555,0.316363636,0.001506084
10,39.0144,1970,C2,0.28887,0.021622909,0.006938863,0.074853425,0.049548037,0.004138575,0.003306028,1.221070273,0.111391074,0.103163457,14.89090909,12.36363636,0.075669019,0.008182825,0.073158707,0.01686142,0.009398238,0.490909091,0.01729534,0.542329,0.005488127,0.000226653,0.02712477,0.010897745,0.000412485,3.14E-05,0.212308174,0.009667296,0.001064163,5.722727273,0.268181818,0.014808131,0.000703339,0.009242234,0.004159215,0.000964629,0.263636364,0.00125507
24,66.7512,1964,C2,0.2216585,0.005628511,0.000289328,0.02511999,0.010508843,0.000440233,0.00003861,0.189499048,0.010795476,0.001255461,5.544,0.2385,0.018755719,0.000860126,0.008722422,0.004190065,0.001072173,0.153,0.001159232,0.1706276,0.005798291,0.000205305,0.034644796,0.008334545,0.00035003,0.00002844,0.172022116,0.008846221,0.00087591,8.01,0.1125,0.014233865,0.000611455,0.006212654,0.003742226,0.00082936,0.153,0.000741521
3,12,1973,C2,0.351908832,0.006993036,0.000271479,0.019865001,0.017106027,0.000537089,2.13E-05,0.21839321,0.007423015,0.000453743,1.143054545,1.7112,0.042357715,0.001247942,0.021072169,0.006055419,0.000889132,0.128509091,0.004156427,0.282982648,0.00495275,0.000185552,0.017301156,0.011376605,0.000353614,1.73E-05,0.161962485,0.005407072,0.000560718,1.890436364,1.559018182,0.024679993,0.000698766,0.011333262,0.003900435,0.000653851,0.128509091,0.00180779
3,12,1972,RM1,0.178552,0.006980219,0.000397575,0.03909348,0.009229856,0.000397698,0.0000509,0.139348375,0.006436631,0.00237826,2.665,0.22,0.01610363,0.000730954,0.006811117,0.00475013,0.001328207,0.24,0.000804809,0.27427,0.009143969,0.000509306,0.033339297,0.016215475,0.000514354,0.0000375,0.22411955,0.007732384,0.001576593,2.445,1.525,0.028348196,0.000910796,0.015860633,0.006332152,0.001452445,0.18,0.002484061
